,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt
23,2019-12-22,19:45,Supercoppa Italiana,Supercoppa Italiana,Sun,Neutral,L,1,3,Lazio,,,65,23361.0,Leonardo Bonucci,4-3-1-2,Giampaolo Calvarese,Match Report,,16,4,,,0,0
24,2020-01-06,15:00,Serie A,Matchweek 18,Mon,Home,W,4,0,Cagliari,2.8,0.6,64,40598.0,Leonardo Bonucci,4-3-1-2,Piero Giacomelli,Match Report,,19,8,20.5,2.0,1,1
25,2020-01-12,20:45,Serie A,Matchweek 19,Sun,Away,W,2,1,Roma,1.4,2.6,47,60513.0,Leonardo Bonucci,4-3-1-2,Marco Guida,Match Report,,4,3,13.3,0.0,1,1
26,2020-01-15,20:45,Coppa Italia,Round of 16,Wed,Home,W,4,0,Udinese,,,61,39524.0,Paulo Dybala,4-3-3,Gianluca Aureliano,Match Report,,20,8,,,2,2
27,2020-01-19,20:45,Serie A,Matchweek 20,Sun,Home,W,2,1,Parma,1.2,0.3,63,37790.0,Leonardo Bonucci,4-3-1-2,Marco Di Bello,Match Report,,17,5,16.7,0.0,0,0
28,2020-01-22,20:45,Coppa Italia,Quarter-finals,Wed,Home,W,3,1,Roma,,,52,40791.0,Leonardo Bonucci,4-3-3,Gianluca Rocchi,Match Report,,13,5,,,0,0
29,2020-01-26,20:45,Serie A,Matchweek 21,Sun,Away,L,1,2,Napoli,1.0,1.4,49,39111.0,Leonardo Bonucci,4-3-1-2,Maurizio Mariani,Match Report,,8,4,15.9,0.0,0,0
30,2020-02-02,12:30,Serie A,Matchweek 22,Sun,Home,W,3,0,Fiorentina,2.9,0.8,74,40171.0,Leonardo Bonucci,4-3-3,Fabrizio Pasqua,Match Report,,13,6,17.5,1.0,2,2
31,2020-02-08,20:45,Serie A,Matchweek 23,Sat,Away,L,1,2,Hellas Verona,0.9,1.9,53,28654.0,Leonardo Bonucci,4-3-3,Davide Massa,Match Report,,15,3,21.0,0.0,0,0
32,2020-02-13,20:45,Coppa Italia,Semi-finals,Thu,Away,D,1,1,Milan,,,62,72738.0,Leonardo Bonucci,4-3-3,Paolo Valeri,Match Report,Leg 1 of 2,14,4,,,1,1
33,2020-02-16,15:00,Serie A,Matchweek 24,Sun,Home,W,2,0,Brescia,2.6,0.3,68,40841.0,Leonardo Bonucci,4-3-3,Daniele Chiffi,Match Report,,27,8,18.0,2.0,0,0
34,2020-02-22,18:00,Serie A,Matchweek 25,Sat,Away,W,2,1,SPAL,2.0,1.2,55,15262.0,Giorgio Chiellini,4-4-2,Federico La Penna,Match Report,,20,6,19.6,3.0,0,0
35,2020-02-26,21:00,Champions Lg,Round of 16,Wed,Away,L,0,1,fr Lyon,1.1,1.1,64,57335.0,Leonardo Bonucci,4-3-3,Jesús Gil,Match Report,Leg 1 of 2,14,0,19.6,2.0,0,0
36,2020-03-08,20:45,Serie A,Matchweek 26,Sun,Home,W,2,0,Inter,1.1,0.6,54,,Leonardo Bonucci,4-3-3,Marco Guida,Match Report,,17,5,18.8,2.0,0,0
37,2020-06-12,21:00,Coppa Italia,Semi-finals,Fri,Home,D,0,0,Milan,,,64,,Leonardo Bonucci,4-3-3,Daniele Orsato,Match Report,Leg 2 of 2; Juventus won,26,7,,,0,1
38,2020-06-17,21:00,Coppa Italia,Final,Wed,Away,D,0 (2),0 (4),Napoli,,,54,,Leonardo Bonucci,4-3-3,Daniele Doveri,Match Report,Napoli won on penalty kicks following extra time,13,3,,,0,0
39,2020-06-22,21:45,Serie A,Matchweek 27,Mon,Away,W,2,0,Bologna,1.7,0.8,52,,Leonardo Bonucci,4-3-3,Gianluca Rocchi,Match Report,,13,2,22.2,2.0,1,1
40,2020-06-26,21:45,Serie A,Matchweek 28,Fri,Home,W,4,0,Lecce,3.9,0.3,64,,Leonardo Bonucci,4-3-3,Marco Piccinini,Match Report,,25,11,18.7,0.0,1,1
41,2020-06-30,21:45,Serie A,Matchweek 29,Tue,Away,W,3,1,Genoa,0.8,0.2,63,,Leonardo Bonucci,4-3-3,Giampaolo Calvarese,Match Report,,18,9,20.9,1.0,0,0
42,2020-07-04,17:15,Serie A,Matchweek 30,Sat,Home,W,4,1,Torino,1.7,1.7,52,,Leonardo Bonucci,4-3-3,Fabio Maresca,Match Report,,22,7,19.6,2.0,0,0
43,2020-07-07,21:45,Serie A,Matchweek 31,Tue,Away,L,2,4,Milan,1.4,2.2,51,,Leonardo Bonucci,4-3-3,Marco Guida,Match Report,,14,4,17.0,0.0,0,0
44,2020-07-11,21:45,Serie A,Matchweek 32,Sat,Home,D,2,2,Atalanta,2.0,0.7,49,,Leonardo Bonucci,4-3-3,Piero Giacomelli,Match Report,,7,3,25.9,1.0,2,2
45,2020-07-15,21:45,Serie A,Matchweek 33,Wed,Away,D,3,3,Sassuolo,2.6,2.5,43,,Giorgio Chiellini,4-3-3,Paolo Valeri,Match Report,,21,5,18.1,2.0,0,0
46,2020-07-20,21:45,Serie A,Matchweek 34,Mon,Home,W,2,1,Lazio,3.3,1.4,55,,Leonardo Bonucci,4-3-3,Daniele Orsato,Match Report,,18,6,16.9,0.0,1,1
47,2020-07-23,19:30,Serie A,Matchweek 35,Thu,Away,L,1,2,Udinese,0.7,1.1,60,,Paulo Dybala,4-3-3,Massimiliano Irrati,Match Report,,21,5,24.3,0.0,0,0
48,2020-07-26,21:45,Serie A,Matchweek 36,Sun,Home,W,2,0,Sampdoria,3.0,1.7,62,,Leonardo Bonucci,4-3-3,Francesco Fourneau,Match Report,,15,6,17.1,1.0,0,1
49,2020-07-29,21:45,Serie A,Matchweek 37,Wed,Away,L,0,2,Cagliari,1.7,1.1,66,,Leonardo Bonucci,4-3-3,Davide Ghersini,Match Report,,34,10,22.3,3.0,0,0
50,2020-08-01,20:45,Serie A,Matchweek 38,Sat,Home,L,1,3,Roma,1.2,1.7,57,,Leonardo Bonucci,4-3-3,Gianluca Rocchi,Match Report,,11,2,16.7,1.0,0,0
51,2020-08-07,21:00,Champions Lg,Round of 16,Fri,Home,W,2,1,fr Lyon,2.6,1.0,62,,Leonardo Bonucci,4-4-2,Felix Zwayer,Match Report,Leg 2 of 2; Lyon won,15,4,19.2,5.0,1,1
