,Unnamed: 0,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt
169,21,2018-12-15,20:30,Serie A,Matchweek 16,Sat,Away,W,1,0,Torino,1.6,0.5,58.0,26588.0,Giorgio Chiellini,4-3-3,Marco Guida,Match Report,,11.0,3.0,19.8,1.0,1,1
170,22,2018-12-22,20:30,Serie A,Matchweek 17,Sat,Home,W,1,0,Roma,1.5,0.4,50.0,40069.0,Giorgio Chiellini,4-3-3,Davide Massa,Match Report,,20.0,6.0,16.6,0.0,0,0
171,23,2018-12-26,15:00,Serie A,Matchweek 18,Wed,Away,D,2,2,Atalanta,1.1,1.4,49.0,19787.0,Giorgio Chiellini,4-3-3,Luca Banti,Match Report,,12.0,2.0,18.5,0.0,0,0
172,24,2018-12-29,12:30,Serie A,Matchweek 19,Sat,Home,W,2,1,Sampdoria,1.4,1.7,55.0,40641.0,Giorgio Chiellini,4-3-3,Paolo Valeri,Match Report,,16.0,7.0,20.6,0.0,1,1
173,25,2019-01-12,20:45,Coppa Italia,Round of 16,Sat,Away,W,2,0,Bologna,,,,15469.0,,,Federico La Penna,Match Report,,,,,,0,0
174,26,2019-01-16,20:30,Supercoppa Italiana,Supercoppa Italiana,Wed,Neutral,W,1,0,Milan,,,62.0,61235.0,Giorgio Chiellini,4-3-3,Luca Banti,Match Report,,18.0,3.0,,,0,0
175,27,2019-01-21,20:30,Serie A,Matchweek 20,Mon,Home,W,3,0,Chievo,3.2,0.5,61.0,30239.0,Giorgio Chiellini,4-4-2,Marco Piccinini,Match Report,,25.0,9.0,20.1,0.0,0,1
176,28,2019-01-27,20:30,Serie A,Matchweek 21,Sun,Away,W,2,1,Lazio,1.2,1.6,53.0,60687.0,Paulo Dybala,4-3-2-1,Marco Guida,Match Report,,5.0,2.0,20.4,0.0,1,1
177,29,2019-01-30,20:45,Coppa Italia,Quarter-finals,Wed,Away,L,0,3,Atalanta,,,,18438.0,,,Fabrizio Pasqua,Match Report,,,,,,0,0
178,30,2019-02-02,20:30,Serie A,Matchweek 22,Sat,Home,D,3,3,Parma,1.9,1.2,68.0,39548.0,Mario Mandžukić,4-3-3,Piero Giacomelli,Match Report,,28.0,7.0,18.7,1.0,0,0
179,31,2019-02-10,18:00,Serie A,Matchweek 23,Sun,Away,W,3,0,Sassuolo,1.6,0.4,51.0,21584.0,Mario Mandžukić,4-4-2,Paolo Mazzoleni,Match Report,,14.0,5.0,15.7,1.0,0,0
180,32,2019-02-15,20:30,Serie A,Matchweek 24,Fri,Home,W,3,0,Frosinone,1.7,0.8,60.0,10570.0,Giorgio Chiellini,4-3-1-2,Antonio Giua,Match Report,,18.0,9.0,18.0,2.0,0,0
181,33,2019-02-20,21:00,Champions Lg,Round of 16,Wed,Away,L,0,2,es Atlético Madrid,0.7,1.4,63.0,67193.0,Giorgio Chiellini,4-3-3,Felix Zwayer,Match Report,Leg 1 of 2,14.0,2.0,21.7,1.0,0,0
182,34,2019-02-24,15:00,Serie A,Matchweek 25,Sun,Away,W,1,0,Bologna,0.6,1.2,50.0,28934.0,Mario Mandžukić,4-3-3,Giampaolo Calvarese,Match Report,,7.0,4.0,14.1,0.0,0,0
183,35,2019-03-03,20:30,Serie A,Matchweek 26,Sun,Away,W,2,1,Napoli,0.3,2.1,37.0,42667.0,Giorgio Chiellini,4-4-2,Gianluca Rocchi,Match Report,,6.0,3.0,20.4,1.0,0,0
184,36,2019-03-08,20:30,Serie A,Matchweek 27,Fri,Home,W,4,1,Udinese,2.3,0.2,61.0,39987.0,Andrea Barzagli,3-4-3,Daniele Chiffi,Match Report,,16.0,5.0,17.1,0.0,1,1
185,37,2019-03-12,21:00,Champions Lg,Round of 16,Tue,Home,W,3,0,es Atlético Madrid,2.5,0.4,62.0,40884.0,Giorgio Chiellini,3-4-1-2,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won,15.0,3.0,17.0,2.0,1,1
186,38,2019-03-17,12:30,Serie A,Matchweek 28,Sun,Away,L,0,2,Genoa,0.3,1.3,59.0,30695.0,Paulo Dybala,3-1-4-2,Marco Di Bello,Match Report,,6.0,0.0,16.4,0.0,0,0
187,39,2019-03-30,18:00,Serie A,Matchweek 29,Sat,Home,W,1,0,Empoli,1.5,0.3,43.0,39290.0,Giorgio Chiellini,4-4-2,Federico La Penna,Match Report,,15.0,3.0,19.2,1.0,0,0
188,40,2019-04-02,21:00,Serie A,Matchweek 30,Tue,Away,W,2,0,Cagliari,2.5,0.5,55.0,15958.0,Giorgio Chiellini,3-4-3,Piero Giacomelli,Match Report,,17.0,6.0,15.5,1.0,0,0
189,41,2019-04-06,18:00,Serie A,Matchweek 31,Sat,Home,W,2,1,Milan,1.9,1.3,47.0,40057.0,Mario Mandžukić,3-5-2,Michael Fabbri,Match Report,,11.0,4.0,15.0,0.0,1,1
190,42,2019-04-10,21:00,Champions Lg,Quarter-finals,Wed,Away,D,1,1,nl Ajax,0.7,1.2,39.0,50390.0,Mario Mandžukić,4-3-3,Carlos del Cerro,Match Report,Leg 1 of 2,7.0,1.0,17.5,0.0,0,0
191,43,2019-04-13,15:00,Serie A,Matchweek 32,Sat,Away,L,1,2,SPAL,0.5,1.2,57.0,16000.0,Andrea Barzagli,3-5-2,Daniele Doveri,Match Report,,11.0,3.0,21.1,0.0,0,0
192,44,2019-04-16,21:00,Champions Lg,Quarter-finals,Tue,Home,L,1,2,nl Ajax,0.8,2.2,51.0,41445.0,Paulo Dybala,4-4-2,Clément Turpin,Match Report,Leg 2 of 2; Ajax won,13.0,3.0,18.6,1.0,0,0
193,45,2019-04-20,18:00,Serie A,Matchweek 33,Sat,Home,W,2,1,Fiorentina,1.0,1.5,60.0,40339.0,Leonardo Bonucci,4-4-2,Fabrizio Pasqua,Match Report,,18.0,4.0,19.6,0.0,0,0
194,46,2019-04-27,20:30,Serie A,Matchweek 34,Sat,Away,D,1,1,Inter,0.6,1.1,46.0,73855.0,Giorgio Chiellini,4-4-2,Luca Banti,Match Report,,10.0,3.0,23.6,0.0,0,0
195,47,2019-05-03,20:30,Serie A,Matchweek 35,Fri,Home,D,1,1,Torino,1.5,0.6,58.0,38530.0,Giorgio Chiellini,4-4-2,Daniele Orsato,Match Report,,16.0,4.0,17.6,0.0,0,0
196,48,2019-05-12,20:30,Serie A,Matchweek 36,Sun,Away,L,0,2,Roma,1.0,1.4,63.0,50825.0,Giorgio Chiellini,4-4-2,Davide Massa,Match Report,,7.0,4.0,16.3,0.0,0,0
197,49,2019-05-19,20:30,Serie A,Matchweek 37,Sun,Home,D,1,1,Atalanta,1.0,1.3,63.0,39531.0,Andrea Barzagli,4-4-2,Gianluca Rocchi,Match Report,,15.0,4.0,20.2,1.0,0,0
198,50,2019-05-26,18:00,Serie A,Matchweek 38,Sun,Away,L,0,2,Sampdoria,0.5,0.7,47.0,22856.0,Giorgio Chiellini,4-4-2,Luigi Nasca,Match Report,,11.0,1.0,21.4,0.0,0,0
